id	title_en	title_pt	date_en	date_pt	author	category_en	category_pt	readTime_en	readTime_pt	activities_en	activities_pt	progress_en	progress_pt	nextSteps_en	nextSteps_pt
1	Week 3 to 9 March 2025	Semana 3 a 9 de Março, 2025	March 3-9, 2025	3-9 de Março, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Blog and website launch, kick-off meeting (roles assigned), project briefing reviewed, brainstorming on WEC type.	Lançamento do blog e website, reunião de início (funções atribuídas), briefing do projeto revisto, brainstorming sobre tipo de WEC.	Started technical research, initial requirements list created, draft pitch deck structure completed.	Iniciámos pesquisa técnica, lista de requisitos iniciais criada, estrutura preliminar do pitch deck completada.	Deepen research, contact companies, start mid-pitch deck.	Aprofundar pesquisa, contactar empresas, iniciar pitch deck intermédio.
2	Week 10 to 16 March 2025	Semana 10 a 16 de Março, 2025	March 10-16, 2025	10-16 de Março, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Company outreach (emails, LinkedIn), pitch deck development, presentation planning.	Contactos com empresas (emails, LinkedIn), desenvolvimento de pitch deck, planeamento de apresentação.	50% pitch deck done, prototype materials listed, no replies yet.	50% do pitch deck feito, materiais do protótipo listados, ainda sem respostas.	Finalize deck.	Finalizar deck.
3	Week 17 to 23 March 2025	Semana 17 a 23 de Março, 2025	March 17-23, 2025	17-23 de Março, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Pitch deck finalized with technical details, simulations run, second outreach round.	Pitch deck finalizado com detalhes técnicos, simulações executadas, segunda ronda de contactos.	Deck nearly finished, materials list completed, follow-ups sent.	Deck quase terminado, lista de materiais completada, follow-ups enviados.	Final slide edits, rehearsals, seek technical input.	Edições finais de slides, ensaios, procurar input técnico.
4	Week 24 to 30 March 2025	Semana 24 a 30 de Março, 2025	March 24-30, 2025	24-30 de Março, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Deck revision, rehearsals, continued outreach.	Revisão do deck, ensaios, continuação dos contactos.	Deck completed and improved, no interview success.	Deck completado e melhorado, sem sucesso em entrevistas.	Share with mentors, find technical feedback sources.	Partilhar com mentores, encontrar fontes de feedback técnico.
5	Week 31 March to 6 April 2025	Semana 31 de Março a 6 de Abril, 2025	March 31 - April 6, 2025	31 de Março - 6 de Abril, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Interview with CENTEC (IST), technical consultation.	Entrevista com CENTEC (IST), consulta técnica.	Gained design insights and expert feedback.	Obtivemos insights de design e feedback de especialistas.	Integrate CENTEC feedback, update deck, prepare presentation.	Integrar feedback do CENTEC, atualizar deck, preparar apresentação.
6	Week 7 to 13 April 2025	Semana 7 a 13 de Abril, 2025	April 7-13, 2025	7-13 de Abril, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Mid-pitch presentation delivered and reviewed.	Apresentação de pitch intermédio entregue e revista.	Successful presentation, valuable feedback received.	Apresentação bem-sucedida, feedback valioso recebido.	Await components, plan prototype assembly.	Aguardar componentes, planear montagem do protótipo.
7	Weeks 14 April to 4 May 2025	Semanas 14 de Abril a 4 de Maio, 2025	April 14 - May 4, 2025	14 de Abril - 4 de Maio, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Delivery delays, local material search unsuccessful.	Atrasos na entrega, busca local de materiais sem sucesso.	No materials yet.	Ainda sem materiais.	Follow-up with suppliers, prepare to resume.	Follow-up com fornecedores, preparar para retomar.
8	Weeks 5 to 18 May 2025	Semanas 5 a 18 de Maio, 2025	May 5-18, 2025	5-18 de Maio, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Project timeline adjusted, task redistribution.	Cronograma do projeto ajustado, redistribuição de tarefas.	Planning continued, no prototype progress.	Planeamento continuado, sem progresso no protótipo.	Seek alternative suppliers, prepare communication tasks.	Procurar fornecedores alternativos, preparar tarefas de comunicação.
9	Week 19 to 25 May 2025	Semana 19 a 25 de Maio, 2025	May 19-25, 2025	19-25 de Maio, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Drafted communication materials (poster, pitch deck, video).	Rascunhos de materiais de comunicação (poster, pitch deck, vídeo).	Drafts started, lack of data halted finalization.	Rascunhos iniciados, falta de dados impediu finalização.	Finish after testing, resume tech work on material arrival.	Finalizar após testes, retomar trabalho técnico na chegada de materiais.
10	Week 26 May to 1 June 2025	Semana 26 de Maio a 1 de Junho, 2025	May 26 - June 1, 2025	26 de Maio - 1 de Junho, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Mentor confirmed upcoming delivery, planning continued.	Mentor confirmou entrega próxima, planeamento continuado.	Communication drafts advanced, team morale stable.	Rascunhos de comunicação avançados, moral da equipa estável.	Restart hardware tasks once materials arrive.	Reiniciar tarefas de hardware quando materiais chegarem.
11	Week 2 to 8 June 2025	Semana 2 a 8 de Junho, 2025	June 2-8, 2025	2-8 de Junho, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Partial component delivery, task preparation began.	Entrega parcial de componentes, preparação de tarefas iniciada.	Early prototype prep started.	Preparação inicial do protótipo iniciada.	Search for missing parts, test subsystems.	Procurar peças em falta, testar subsistemas.
12	Weeks 9 to 22 June 2025	Semanas 9 a 22 de Junho, 2025	June 9-22, 2025	9-22 de Junho, 2025	WEC Team	Weekly Update	Atualização Semanal	1 min read	1 min de leitura	Sourced remaining parts locally, updated build plan.	Obtivemos peças restantes localmente, plano de construção atualizado.	Final materials acquired, construction set to start.	Materiais finais adquiridos, construção pronta para iniciar.	Begin prototype build and testing, adjust timeline.	Iniciar construção e teste do protótipo, ajustar cronograma.
13	Week 23 June to 5 July 2025	Semana 23 de Junho a 5 de Julho, 2025	June 23 - July 5, 2025	23 de Junho - 5 de Julho, 2025	WEC Team	Project Completion	Conclusão do Projeto	1 min read	1 min de leitura	Final assembly and testing sprint, all deliverables completed (video, poster, presentation), project showcased at ElectroDay.	Sprint final de montagem e teste, todos os entregáveis completados (vídeo, poster, apresentação), projeto apresentado no ElectroDay.	Working prototype built and demonstrated, materials submitted.	Protótipo funcional construído e demonstrado, materiais submetidos.	Project successfully completed despite delays.	Projeto concluído com sucesso apesar dos atrasos.
